T,K,Spread,Weight,Type,Market,Model,Err,IV_Mkt,IV_Model
0.043,5700.0,0.25,4.0,PUT,1.07,1.93,0.86,0.3837,0.4122
0.043,6375.0,0.8000000000000007,1.249999999999999,PUT,6.0,6.81,0.81,0.2399,0.246
0.043,6680.0,0.8999999999999986,1.111111111111113,PUT,23.35,22.01,-1.34,0.188,0.1841
0.043,7090.0,0.6000000000000014,1.6666666666666627,CALL,11.6,12.99,1.39,0.1027,0.1068
0.045,6125.0,0.75,1.3333333333333333,PUT,3.33,4.12,0.79,0.2905,0.3006
0.045,6525.0,0.8000000000000007,1.249999999999999,PUT,12.9,12.59,-0.31,0.2146,0.2133
0.045,6730.0,0.9000000000000057,1.111111111111104,PUT,32.65,29.77,-2.88,0.1813,0.1745
0.045,7175.0,0.2999999999999998,3.3333333333333353,CALL,2.85,4.79,1.94,0.0953,0.1065
0.048,6225.0,0.8000000000000007,1.249999999999999,PUT,5.1,5.58,0.48,0.2695,0.2739
0.048,6625.0,1.0,1.0,PUT,22.5,20.38,-2.12,0.2,0.1937
0.048,7075.0,1.0,1.0,CALL,19.9,18.99,-0.91,0.1105,0.1084
0.051,6125.0,0.5,2.0,PUT,4.75,4.89,0.14,0.291,0.2924
0.051,6500.0,0.9000000000000004,1.1111111111111107,PUT,15.85,13.81,-2.04,0.2243,0.2163
0.051,6770.0,1.2000000000000028,0.8333333333333314,PUT,46.8,39.96,-6.84,0.1802,0.1667
0.054,5300.0,0.25,4.0,PUT,1.18,1.28,0.11,0.4598,0.4644
0.054,5675.0,0.4500000000000002,2.2222222222222214,PUT,2.17,2.4,0.22,0.3815,0.3864
0.054,5840.0,0.6500000000000004,1.5384615384615377,PUT,2.98,3.13,0.16,0.348,0.3506
0.054,5970.0,0.7000000000000002,1.4285714285714282,PUT,3.85,3.92,0.07,0.3214,0.3223
0.054,6100.0,0.40000000000000036,2.499999999999998,PUT,5.1,5.03,-0.07,0.295,0.2943
0.054,6180.0,0.40000000000000036,2.499999999999998,PUT,6.2,5.99,-0.21,0.2793,0.2776
0.054,6260.0,0.8999999999999995,1.1111111111111118,PUT,7.85,7.28,-0.57,0.2652,0.2613
0.054,6335.0,0.3999999999999986,2.500000000000009,PUT,9.8,8.91,-0.89,0.2515,0.2465
0.054,6415.0,0.8999999999999986,1.111111111111113,PUT,12.95,11.32,-1.63,0.2387,0.2312
0.054,6490.0,0.5,2.0,PUT,16.85,14.48,-2.37,0.2262,0.2173
0.054,6565.0,1.0,1.0,PUT,22.4,18.88,-3.52,0.2146,0.2037
0.054,6645.0,1.0,1.0,PUT,30.5,25.51,-4.99,0.2019,0.1894
0.054,6720.0,0.5999999999999943,1.6666666666666825,PUT,40.8,34.28,-6.52,0.1896,0.1758
0.054,7075.0,0.6000000000000014,1.6666666666666627,CALL,27.7,22.02,-5.68,0.1203,0.1087
0.054,7150.0,0.3999999999999986,2.500000000000009,CALL,10.0,8.88,-1.12,0.1087,0.1051
0.054,7230.0,0.40000000000000036,2.499999999999998,CALL,2.9,3.91,1.01,0.1032,0.1095
0.062,5900.0,0.7999999999999998,1.2500000000000002,PUT,3.9,4.23,0.33,0.3203,0.3244
0.062,6375.0,1.0,1.0,PUT,12.8,12.71,-0.09,0.2355,0.2351
0.062,6750.0,1.2999999999999972,0.7692307692307709,PUT,48.95,44.52,-4.43,0.1779,0.1699
0.065,6000.0,1.0,1.0,PUT,5.3,5.5,0.2,0.2998,0.3017
0.065,6500.0,1.0,1.0,PUT,21.2,19.95,-1.25,0.2166,0.2128
0.065,7150.0,1.0,1.0,CALL,13.5,12.38,-1.12,0.108,0.1051
0.067,6350.0,0.5,2.0,PUT,14.05,13.63,-0.42,0.2391,0.2374
0.067,6750.0,0.7000000000000028,1.4285714285714228,PUT,53.65,48.3,-5.35,0.1788,0.1696
